SYMBOL	Case_cnt	Control_cnt	diff
PCK2	1	1	0
NPFFR1	1	1	0
KCNJ12	1	1	0
SRPR	1	1	0
CCDC17	1	1	0
HS6ST1	1	1	0
SLC16A4	1	1	0
DAZAP1	1	1	0
ZNF154	1	1	0
KALRN	1	1	0
TTC23L	1	1	0
ADAMTS12	1	1	0
GUCY1A3	1	1	0
STPG2	1	1	0
MKI67	1	1	0
DPY19L4	1	1	0
SLC27A5	1	1	0
CROCCP2	1	1	0
MRPS30	1	1	0
PRB3	64	65	-1
RP11-114H24.2	70	71	-1
RP11-492D6.3	54	55	-1
PCDHGA8	8	9	-1
RP11-196D18.5	63	64	-1
IDI2	17	18	-1
USP29	69	70	-1
CEP89	48	49	-1
C9orf43	12	13	-1
C8orf44	3	4	-1
C17orf77	26	27	-1
PLIN4	9	10	-1
ZNF544	1	2	-1
ANAPC1	50	51	-1
PDIA2	2	3	-1
CES1	1	2	-1
HIST1H2AH	1	2	-1
POMT1	24	25	-1
UBXN10	1	2	-1
OR4C11	5	6	-1
RNF133	5	6	-1
GPRC6A	4	5	-1
FAM35DP	4	5	-1
AC007952.5	3	4	-1
OR2T12	20	21	-1
ZNF233	17	18	-1
MMP8	6	7	-1
A2M	20	21	-1
MRGPRX3	12	13	-1
ADAM33	5	6	-1
RHPN2	34	35	-1
C7orf33	5	6	-1
CSRP2BP	8	9	-1
ZNF844	2	3	-1
OR4M2	2	3	-1
C11orf40	12	13	-1
KRT83	4	5	-1
IGLV2-11	5	6	-1
OR51G1	2	3	-1
SMPD4	4	5	-1
SDCBPP2	22	23	-1
KRTAP10-4	3	4	-1
RGPD3	1	2	-1
SLC13A1	1	2	-1
ANKRD20A4	1	2	-1
DUSP18	1	2	-1
SLC9B1P3	2	3	-1
MYLKP1	4	5	-1
OR52N1	5	6	-1
LIPM	1	2	-1
GSTA1	1	2	-1
ZSCAN31	1	2	-1
PXDNL	1	2	-1
ZNF418	2	3	-1
C11orf16	1	2	-1
OR52I2	1	2	-1
RFPL4AL1	2	3	-1
PPEF2	11	12	-1
EBLN2	1	2	-1
AIM2	2	3	-1
ZSCAN5B	1	2	-1
GH2	1	2	-1
SERPINA10	1	2	-1
ZFP91	1	2	-1
NAT1	4	5	-1
DCLRE1A	1	2	-1
AHCTF1	1	2	-1
ITGA10	2	3	-1
CASP8	3	4	-1
LSMD1	1	2	-1
POLQ	1	2	-1
TNNT3	1	2	-1
DST	1	2	-1
MYO1A	1	2	-1
KRT76	1	2	-1
C9orf152	2	3	-1
SYT8	1	2	-1
KIF24	1	2	-1
USMG5	1	2	-1
OLFM4	1	2	-1
ACSM3	1	2	-1
MICU2	1	2	-1
PYGM	1	2	-1
CDH26	1	2	-1
DIS3	1	2	-1
RGPD4	2	3	-1
FAM86A	1	2	-1
NEBL	1	2	-1
USP28	1	2	-1
MYOM3	1	2	-1
LAD1	1	2	-1
