SYMBOL	s
GDF6	1
GEN1	1
GET4	1
GFI1	1
GFPT1	1
GGA1	1
GGCX	1
GGT5	1
GINS1	1
GINS4	1
GIPR	1
GJA1	1
GJB4	1
GJC2	1
GK2	1
GLI2	1
GLP2R	1
GLT1D1	1
GLT8D2	1
GLTSCR2	1
GLYCTK-AS1	1
GMCL1	1
GNA15	1
GNB2	1
GNL3	1
GNL3L	1
GOLGA1	1
GOLGA3	1
GOLGB1	1
GOLPH3	1
GPATCH1	1
GPATCH3	1
GPBP1L1	1
GPC4	1
GPC5	1
GPIHBP1	1
GPKOW	1
GPR114	1
GPR115	1
GPR116	1
GPR124	1
GPR144	1
GPR15	1
GPR153	1
GPR161	1
GPR21	1
GPR26	1
GPR39	1
GPR82	1
GPR89B	1
GPRC5C	1
GPX3	1
GRAMD1C	1
GRIA2	1
GRIA3	1
GRIK2	1
GRM5	1
GRM7	1
GS1-600G8.5	1
GSDMC	1
GTF2A1	1
GTF3C4	1
GTPBP1	1
GTSE1	1
HAGH	1
HAND2-AS1	1
HAO2	1
HAUS8	1
HBP1	1
HCST	1
HDAC4	1
HEATR5B	1
HEATR6	1
HECW2	1
HELZ2	1
HEPH	1
HERC2	1
HERC5	1
HEY1	1
HEYL	1
HHEX	1
HIF1A	1
HINT1	1
HIVEP3	1
HLX	1
HMCN1	1
HMGA1	1
HMGCR	1
HMHA1	1
HNRNPA1L2	1
HNRNPF	1
HNRNPLL	1
HNRNPU	1
HNRNPUL1	1
HORMAD1	1
HP1BP3	1
HPN	1
HPSE	1
HR	1
HSD11B1	1
HSD17B3	1
HSP90AA1	1
HSPA4L	1
HSPA9	1
HSPB9	1
HSPG2	1
HSPH1	1
HTR5A	1
HTR7	1
HTRA3	1
HTT	1
HUNK	1
HYDIN	1
IARS2	1
IBTK	1
ICAM5	1
ID2	1
IFFO2	1
IFLTD1	1
IGF1R	1
IGFLR1	1
IGHD3-9	1
IGHMBP2	1
IGHV1OR15-6	1
IGHV2-70	1
IGHV3-13	1
IGHV3-33	1
IGHV3-48	1
IGHV3-66	1
IGHV3-7	1
IGHV3-9	1
IGKV1-33	1
IGKV2-30	1
IGKV2D-30	1
IGKV3-11	1
IGKV3-34	1
IGKV4-1	1
IGKV5-2	1
IGLV3-21	1
IGLV3-25	1
IGSF10	1
IGSF21	1
IKBKE	1
IL12B	1
IL12RB2	1
IL1RAP	1
IL31	1
IL6ST	1
IL7R	1
IL9RP3	1
ILDR1	1
IMPDH2	1
INSIG2	1
INSL4	1
INTS1	1
INTS5	1
INTS8	1
INTS9	1
INVS	1
IPO11	1
IPO8	1
IQGAP1	1
IQSEC1	1
IQSEC2	1
IRAK3	1
IRAK4	1
IRF2BP1	1
IRF2BP2	1
IRGQ	1
IRX5	1
ITGA1	1
ITGA3	1
ITGA5	1
ITGA7	1
ITGAV	1
ITGAX	1
ITGB6	1
ITIH2	1
ITLN2	1
ITPR1	1
ITPR3	1
ITPRIPL2	1
IYD	1
JMJD7-PLA2G4B	1
JPH1	1
JRKL	1
JUP	1
KAT7	1
KBTBD2	1
KCNAB1	1
KCNE4	1
KCNH2	1
KCNH6	1
KCNK15	1
KCNN2	1
KCNT1	1
KCTD14	1
KCTD19	1
KCTD3	1
KDM2A	1
KDM2B	1
KIAA0100	1
KIAA0319L	1
KIAA0556	1
KIAA0947	1
KIAA1033	1
KIAA1109	1
KIAA1211	1
KIAA1586	1
KIAA1715	1
KIAA1875	1
KIF18A	1
KIF4A	1
KIR2DL1	1
KL	1
KLC4	1
KLHDC3	1
KLHDC4	1
KLHL24	1
KLK1	1
KLK3	1
KLK5	1
KMT2D	1
KRT1	1
KRT15	1
KRT24	1
KRT26	1
KRT3	1
KRT8	1
KRT85	1
KRTAP10-4	1
KRTAP13-2	1
KRTAP4-11	1
KRTAP4-2	1
KTN1	1
LACE1	1
LAIR2	1
LAMA1	1
LAMA5	1
LARP1	1
LARP1B	1
LARP6	1
LAT	1
LCN15	1
LCN9	1
LDB1	1
LDLR	1
LEFTY1	1
LEO1	1
LETM1	1
LETMD1	1
LFNG	1
LGMN	1
LHX8	1
LIG1	1
LILRB3	1
LIMD1	1
LIN28B	1
LINC00458	1
LINC01056	1
LMX1A	1
LOXL4	1
LPA	1
LPCAT2	1
LPHN1	1
LPIN3	1
LRBA	1
LRFN1	1
LRGUK	1
LRP2	1
LRP4	1
LRP6	1
LRP8	1
LRPPRC	1
LRRC31	1
LRRC36	1
LRRC37B	1
LRRC8B	1
LRRK2	1
LRWD1	1
LY9	1
LYN	1
MAATS1	1
MACROD1	1
MADD	1
MAG	1
MAGEB3	1
MAGEE1	1
MAGI1	1
MALT1	1
MAMDC4	1
MAN1B1	1
MAN2A1	1
MAN2B1	1
MANBA	1
MAP1A	1
MAP2K4	1
MAP3K11	1
MAP3K5	1
MAP4K4	1
MAP9	1
MAPK12	1
MARCH2	1
MARK1	1
MARS	1
MATN1	1
MATR3	1
MBD1	1
MBNL1	1
MBNL2	1
MCF2L	1
MCM3AP	1
MCM4	1
MDN1	1
MECOM	1
MED12	1
MED15P7	1
MED16	1
MED17	1
MED29	1
MED7	1
MEG3	1
MESP2	1
METTL17	1
METTL2A	1
MFHAS1	1
MFN1	1
MGP	1
MIA2	1
MICAL1	1
MICAL2	1
MINPP1	1
MKI67	1
MLC1	1
MLLT4	1
MLLT6	1
MLXIPL	1
MMP13	1
MMP3	1
MNDA	1
MON1B	1
MON2	1
MORC2	1
MOSPD2	1
MOV10L1	1
MOXD2P	1
MPND	1
MPP5	1
MPZ	1
MRM1	1
MRPL1	1
MRPL21	1
MRPL35	1
MRPS22	1
MSANTD3	1
MSH4	1
MSI2	1
MSLN	1
MSTO1	1
MSX2	1
MT-ATP6	1
MT-ND2	1
MT-ND6	1
MTERFD3	1
MTHFD1L	1
MTMR1	1
MTMR9	1
MTR	1
MTSS1	1
MTSS1L	1
MUC5B	1
MUC8	1
MVK	1
MVP	1
MX2	1
MXRA5	1
MYBL2	1
MYBPC3	1
MYH13	1
MYH14	1
MYH4	1
MYO16	1
MYO1B	1
MYO5C	1
MYO6	1
MYT1	1
N4BP2	1
NAA10	1
NAA16	1
NABP2	1
NADK	1
NADK2	1
NAE1	1
NAPA	1
NAT10	1
NBAS	1
NBPF1	1
NBPF12	1
NBR1	1
NCF1	1
NCK1	1
NCK2	1
NCKAP1L	1
NCOA2	1
NCOR2	1
NDC1	1
NDC80	1
NDE1	1
NDST3	1
NDUFA4	1
NDUFAF2	1
NEB	1
NEBL	1
NEK11	1
NELFB	1
NELL2	1
NET1	1
NEUROD4	1
NF1	1
NF2	1
NFATC4	1
NFE2L3	1
NFKBIA	1
NFKBIB	1
NID2	1
NIM1K	1
NKTR	1
NKX1-2	1
NKX2-8	1
NLE1	1
NLRC5	1
NLRP2	1
NME4	1
NMS	1
NMT1	1
NMT2	1
NMUR2	1
NOC2L	1
NOD1	1
NONO	1
NOVA2	1
NOX3	1
NOX4	1
NPAS3	1
NPC1L1	1
NPHP3	1
NPIPA5	1
NPR1	1
NPR2	1
NR1D1	1
NR2F6	1
NR4A1	1
NRG1	1
NRXN3	1
NSMCE2	1
NSRP1	1
NSUN3	1
NT5C1B	1
NTSR2	1
NUDT13	1
NUDT21	1
NUFIP1	1
NUP155	1
NUP205	1
NUP98	1
NUTM2A	1
NUTM2B	1
OAS1	1
OBSCN	1
OLFM4	1
OMA1	1
OPRL1	1
OR10G6	1
OR10J1	1
OR11L1	1
OR2AP1	1
OR2T27	1
OR4F17	1
OR4N4	1
OR5H14	1
OR7C1	1
ORC5	1
OTOP1	1
OTOP3	1
OTUD6A	1
OTUD6B	1
OVGP1	1
OXR1	1
P2RY10	1
P2RY13	1
P2RY4	1
PABPC1	1
PACSIN3	1
PADI1	1
PADI3	1
PAGE2B	1
PALLD	1
PALM2-AKAP2	1
PAM	1
PAN2	1
PAN3	1
PANX1	1
PAPPA2	1
PARP10	1
PARP15	1
PARP8	1
PARS2	1
PATE1	1
PAX2	1
PAXBP1	1
PBDC1	1
PCDH11X	1
PCDH18	1
PCDHA11	1
PCDHA4	1
PCDHA7	1
PCDHB10	1
PCDHB2	1
PCDHB3	1
PCDHGA12	1
PCDHGA2	1
PCDHGA6	1
PCGF6	1
PCK2	1
PCNX	1
PCNXL2	1
PCNXL4	1
PCSK2	1
PCYOX1L	1
PCYT1A	1
PDCD11	1
PDCD1LG2	1
PDCD4	1
PDE4DIP	1
PDE6A	1
PDE7A	1
PDIK1L	1
PDPR	1
PDX1	1
PDZD7	1
PDZD8	1
PDZRN4	1
PEF1	1
PELI3	1
PENK	1
PEX26	1
PEX7	1
PFKFB1	1
PGAP2	1
PHF14	1
PHF19	1
PHF2	1
PHF20L1	1
PHLDB2	1
PHLPP2	1
PI4K2B	1
PIEZO1P2	1
PIGF	1
PIGG	1
PIGO	1
PIGR	1
PIH1D3	1
PIK3C3	1
PIK3CB	1
PIK3CG	1
PIK3R5	1
PILRB	1
PIP5K1A	1
PITPNB	1
PITPNM1	1
PIWIL4	1
PJA2	1
PKMYT1	1
PKNOX1	1
PKP3	1
PLA2G2E	1
PLA2G4E	1
PLA2R1	1
PLAA	1
PLAC8L1	1
PLCB3	1
PLCD3	1
PLCL2	1
PLD6	1
PLEC	1
PLEKHB2	1
PLEKHG1	1
PLEKHG6	1
PLEKHO2	1
PLEKHS1	1
PLOD3	1
PLXDC2	1
PMEL	1
PMPCB	1
PMS2	1
PNLDC1	1
PNLIPRP1	1
PNOC	1
PNPLA8	1
PNRC1	1
POGLUT1	1
POLA1	1
POLH	1
POLR3A	1
POM121L12	1
POTEE	1
POU1F1	1
PPFIBP1	1
PPHLN1	1
PPP1R8	1
PPP2CB	1
PPP2R5A	1
PPP2R5E	1
PPP3CC	1
PPP4C	1
PPP6R3	1
PQLC2	1
PRAP1	1
PRDM2	1
PRICKLE2	1
PRKCB	1
PRKCD	1
PRKCQ	1
PRKDC	1
PRKG1	1
PROM2	1
PRPF3	1
PRPF39	1
PRPF40A	1
PRPF40B	1
PRRX1	1
PRRX2	1
PRSS1	1
PRSS12	1
PRSS50	1
PRSS55	1
PSAP	1
PSKH2	1
PSMA7	1
PSMD12	1
PSMG3	1
PTBP1	1
PTCHD1	1
PTH2R	1
PTK2B	1
PTPN4	1
PTPRA	1
PTPRB	1
PTPRC	1
PTPRF	1
PTPRG	1
PTPRJ	1
PTPRQ	1
PTPRU	1
PTPRZ1	1
PUM1	1
PUS1	1
PYGL	1
PYGM	1
PYGO2	1
PYHIN1	1
PZP	1
QPCTL	1
QRSL1	1
R3HDM4	1
RAB11FIP4	1
RAB32	1
RAB3GAP1	1
RAB5A	1
RAD17	1
RAD23A	1
RAD23B	1
RAD54L2	1
RAI1	1
RANBP6	1
RAPGEF6	1
RAPH1	1
RASA1	1
RBKS	1
RBL2	1
RBM19	1
RBM25	1
RBM26	1
RBM28	1
RBM47	1
RBM5	1
RC3H1	1
RCC2	1
RDH8	1
REL	1
RELA	1
RELN	1
REPS1	1
REPS2	1
REST	1
RETSAT	1
REXO1	1
RFPL2	1
RGS1	1
RGS16	1
RGS2	1
RGS22	1
RGS7BP	1
RHOT2	1
RIF1	1
RIMKLA	1
RLF	1
RNASEH2A	1
RNF111	1
RNF168	1
RNLS	1
RNPEPL1	1
ROBO4	1
ROCK1P1	1
